model,event_id,event_start,event_end,threshold,tp,fn,fp_near_event,recall_in_event,precision_near_event,first_alarm_timestamp,latency_minutes,n_windows_in_event
VAE (dense),F3,2020-06-05 10:00:00,2020-06-07 14:30:00,178.63380310058594,846,20,0,0.976905311778291,1.0,2020-06-05 10:10:08,10.133333333333333,866
VAE (dense),F4,2020-07-15 14:30:00,2020-07-15 19:00:00,178.63380310058594,81,0,43,1.0,0.6532258064516129,2020-07-15 14:32:59,2.9833333333333334,81
Isolation Forest,F3,2020-06-05 10:00:00,2020-06-07 14:30:00,0.14254701137542725,1732,0,2,1.0,0.9988465974625144,2020-06-05 10:00:14,0.23333333333333334,1732
Isolation Forest,F4,2020-07-15 14:30:00,2020-07-15 19:00:00,0.14254701137542725,150,12,10,0.9259259259259259,0.9375,2020-07-15 14:34:38,4.633333333333334,162
PCA reconstruction,F3,2020-06-05 10:00:00,2020-06-07 14:30:00,362.79766845703125,24,1708,8,0.013856812933025405,0.75,2020-06-06 19:42:59,2022.9833333333333,1732
PCA reconstruction,F4,2020-07-15 14:30:00,2020-07-15 19:00:00,362.79766845703125,12,150,16,0.07407407407407407,0.42857142857142855,2020-07-15 17:21:30,171.5,162
OC-SVM,F3,2020-06-05 10:00:00,2020-06-07 14:30:00,0.21466811001300812,32,1700,0,0.018475750577367205,1.0,2020-06-06 19:42:59,2022.9833333333333,1732
OC-SVM,F4,2020-07-15 14:30:00,2020-07-15 19:00:00,0.21466811001300812,58,104,0,0.35802469135802467,1.0,2020-07-15 17:21:30,171.5,162
LOF,F3,2020-06-05 10:00:00,2020-06-07 14:30:00,2.2530311346054077,14,1718,3,0.008083140877598153,0.8235294117647058,2020-06-06 19:42:59,2022.9833333333333,1732
LOF,F4,2020-07-15 14:30:00,2020-07-15 19:00:00,2.2530311346054077,7,155,22,0.043209876543209874,0.2413793103448276,2020-07-15 14:39:35,9.583333333333334,162
