study_id,experiment_group,base_experiment_id,architecture,window_size,stride,hidden,latent_dim,beta,scaling,threshold_method,split,precision_mean,precision_std,recall_mean,recall_std,f1_mean,f1_std,roc_auc_mean,roc_auc_std,pr_auc_mean,pr_auc_std,accuracy_mean,accuracy_std,balanced_accuracy_mean,balanced_accuracy_std,n_seeds,seeds,threshold_value_mean,threshold_value_std
20260430_074356_wrapup_layers_windows_noscale_beta1,architectures,arch_conv1d,conv1d,60,10,"[128, 64]",16,1.0,none,train_p98,test,0.6584906627046135,0.07997224271687393,0.15337909186906018,0.014560276909332266,0.24790979420369103,0.013376209395304517,0.9958483784726048,0.0013044878706190745,0.8046509945211009,0.048252110442884646,0.9599180141197905,0.0009340057688184706,0.5748271601767236,0.006463909425545198,2,"7,42",14.988434076309204,1.338420378933772
20260430_074356_wrapup_layers_windows_noscale_beta1,architectures,arch_conv1d,conv1d,60,10,"[128, 64]",16,1.0,none,train_p98,val,0.4823012353500158,0.05257944785668098,0.3227848101265823,0.020885010414792522,0.38664846834320854,0.03190280928186969,0.9950161512039897,0.00037198934117854937,0.5056324342246303,0.024663669462083343,0.9885781433607521,0.0007976762748990229,0.6594316673505808,0.010728198126879383,2,"7,42",14.988434076309204,1.338420378933772
20260430_074356_wrapup_layers_windows_noscale_beta1,architectures,arch_conv1d,conv1d,60,10,"[128, 64]",16,1.0,none,train_p99,test,0.5732558994339484,0.11519140094901047,0.08606124604012672,0.012693574741469172,0.14861153494049434,0.015104508600261874,0.9958483784726048,0.0013044878706190745,0.8046509945211009,0.048252110442884646,0.9575836939193805,0.0012077660803687918,0.5414657429743666,0.005429581554505879,2,"7,42",15.632814407348633,1.5486053637584483
20260430_074356_wrapup_layers_windows_noscale_beta1,architectures,arch_conv1d,conv1d,60,10,"[128, 64]",16,1.0,none,train_p99,val,0.0,0.0,0.0,0.0,0.0,0.0,0.9950161512039897,0.00037198934117854937,0.5056324342246303,0.024663669462083343,0.9853819036427732,0.0003988381374495311,0.49824127768799314,0.00020166559022336187,2,"7,42",15.632814407348633,1.5486053637584483
20260430_074356_wrapup_layers_windows_noscale_beta1,architectures,arch_conv1d,conv1d,60,10,"[128, 64]",16,1.0,none,train_p995,test,0.6016915422885571,0.07781692537237037,0.0781414994720169,0.011946893874323928,0.1377564762217634,0.01660591685033833,0.9958483784726048,0.0013044878706190745,0.8046509945211009,0.048252110442884646,0.9579025278979731,0.000563624170838712,0.5378509763163588,0.005409659875810394,2,"7,42",16.21378529071808,1.286465621599605
20260430_074356_wrapup_layers_windows_noscale_beta1,architectures,arch_conv1d,conv1d,60,10,"[128, 64]",16,1.0,none,train_p995,val,0.0,0.0,0.0,0.0,0.0,0.0,0.9950161512039897,0.00037198934117854937,0.5056324342246303,0.024663669462083343,0.9860869565217392,0.000664730229082565,0.49859777545394046,0.0003361093170389037,2,"7,42",16.21378529071808,1.286465621599605
20260430_074356_wrapup_layers_windows_noscale_beta1,architectures,arch_conv1d,conv1d,60,10,"[128, 64]",16,1.0,none,val_f1,test,0.8677654386274165,0.01828115539820675,0.6190601900739177,0.15344291819834802,0.7162356891623527,0.09877619150193875,0.9958483784726048,0.0013044878706190745,0.8046509945211009,0.048252110442884646,0.9794124345251651,0.00495989270338094,0.8073583033385582,0.0758547416764991,2,"7,42",14.372699043187662,1.277429677605142
20260430_074356_wrapup_layers_windows_noscale_beta1,architectures,arch_conv1d,conv1d,60,10,"[128, 64]",16,1.0,none,val_f1,val,0.6823899371069182,0.022236062301463754,0.9156118143459915,0.029835729163989338,0.7819819819819819,0.02548132544816393,0.9950161512039897,0.00037198934117854937,0.5056324342246303,0.024663669462083343,0.9943125734430083,0.000664730229082565,0.9554054888822837,0.015085919240514091,2,"7,42",14.372699043187662,1.277429677605142
20260430_074356_wrapup_layers_windows_noscale_beta1,architectures,arch_lstm,lstm_autoencoder,60,10,"[128, 64]",16,1.0,none,train_p98,test,0.902834008097166,0.0,0.941921858500528,0.0,0.9219638242894056,0.0,0.9951256186610863,0.0,0.8613219399910348,0.0,0.9931222956046458,0.0,0.9686760853812617,0.0,1,42,58.62646293640137,
20260430_074356_wrapup_layers_windows_noscale_beta1,architectures,arch_lstm,lstm_autoencoder,60,10,"[128, 64]",16,1.0,none,train_p98,val,0.5732323232323232,0.0,0.9578059071729957,0.0,0.7172195892575038,0.0,0.997406340866818,0.0,0.6898076107492991,0.0,0.9915863689776733,0.0,0.9748864120901579,0.0,1,42,58.62646293640137,
