study_id,experiment_group,base_experiment_id,experiment_id,run_id,run_dir,architecture,window_size,stride,hidden,latent_dim,beta,seed,scaling,threshold_method,threshold_value,split,precision,recall,f1,roc_auc,pr_auc,accuracy,balanced_accuracy,tn,fp,fn,tp,n_train_windows,n_val_windows,n_test_windows,n_val_positive,n_test_positive,train_score_mean,train_score_std,train_score_p98,test_score_mean_normal,test_score_mean_anomaly
20260430_074356_wrapup_layers_windows_noscale_beta1,architectures,arch_conv1d,arch_conv1d_s42,20260430_081738,models/vae_grid_runs/20260430_074356_wrapup_layers_windows_noscale_beta1/runs/architectures/arch_conv1d_s42/20260430_081738,conv1d,60,10,"[128, 64]",16,1.0,42,none,train_p98,14.042027950286865,val,0.5194805194805194,0.33755274261603374,0.4092071611253197,0.9952791873896661,0.523072282150213,0.9891421856639248,0.66701764899601,20964,74,157,80,63526,21275,43910,237,1894,3.2966105937957764,2.7435576915740967,14.042027950286865,4.345435619354248,14.122933387756348
20260430_074356_wrapup_layers_windows_noscale_beta1,architectures,arch_conv1d,arch_conv1d_s42,20260430_081738,models/vae_grid_runs/20260430_074356_wrapup_layers_windows_noscale_beta1/runs/architectures/arch_conv1d_s42/20260430_081738,conv1d,60,10,"[128, 64]",16,1.0,42,none,train_p98,14.042027950286865,test,0.6019417475728155,0.16367476240760295,0.25736820257368204,0.9949259662533144,0.770531600020375,0.9592575723069916,0.5793978343645022,41811,205,1584,310,63526,21275,43910,237,1894,3.2966105937957764,2.7435576915740967,14.042027950286865,4.345435619354248,14.122933387756348
20260430_074356_wrapup_layers_windows_noscale_beta1,architectures,arch_conv1d,arch_conv1d_s42,20260430_081738,models/vae_grid_runs/20260430_074356_wrapup_layers_windows_noscale_beta1/runs/architectures/arch_conv1d_s42/20260430_081738,conv1d,60,10,"[128, 64]",16,1.0,42,none,train_p99,14.537785053253174,val,0.0,0.0,0.0,0.9952791873896661,0.523072282150213,0.9856639247943596,0.49838387679437207,20970,68,237,0,63526,21275,43910,237,1894,3.2966105937957764,2.7435576915740967,14.042027950286865,4.345435619354248,14.122933387756348
20260430_074356_wrapup_layers_windows_noscale_beta1,architectures,arch_conv1d,arch_conv1d_s42,20260430_081738,models/vae_grid_runs/20260430_074356_wrapup_layers_windows_noscale_beta1/runs/architectures/arch_conv1d_s42/20260430_081738,conv1d,60,10,"[128, 64]",16,1.0,42,none,train_p99,14.537785053253174,test,0.4918032786885246,0.09503695881731784,0.15929203539823006,0.9949259662533144,0.770531600020375,0.9567296743338647,0.545305036910563,41830,186,1714,180,63526,21275,43910,237,1894,3.2966105937957764,2.7435576915740967,14.042027950286865,4.345435619354248,14.122933387756348
20260430_074356_wrapup_layers_windows_noscale_beta1,architectures,arch_conv1d,arch_conv1d_s42,20260430_081738,models/vae_grid_runs/20260430_074356_wrapup_layers_windows_noscale_beta1/runs/architectures/arch_conv1d_s42/20260430_081738,conv1d,60,10,"[128, 64]",16,1.0,42,none,train_p995,15.30411672592163,val,0.0,0.0,0.0,0.9952791873896661,0.523072282150213,0.986556991774383,0.4988354406312387,20989,49,237,0,63526,21275,43910,237,1894,3.2966105937957764,2.7435576915740967,14.042027950286865,4.345435619354248,14.122933387756348
20260430_074356_wrapup_layers_windows_noscale_beta1,architectures,arch_conv1d,arch_conv1d_s42,20260430_081738,models/vae_grid_runs/20260430_074356_wrapup_layers_windows_noscale_beta1/runs/architectures/arch_conv1d_s42/20260430_081738,conv1d,60,10,"[128, 64]",16,1.0,42,none,train_p995,15.30411672592163,test,0.5466666666666666,0.08658922914466737,0.1494986326344576,0.9949259662533144,0.770531600020375,0.9575039854247324,0.541676183498457,41880,136,1730,164,63526,21275,43910,237,1894,3.2966105937957764,2.7435576915740967,14.042027950286865,4.345435619354248,14.122933387756348
20260430_074356_wrapup_layers_windows_noscale_beta1,architectures,arch_conv1d,arch_conv1d_s42,20260430_081738,models/vae_grid_runs/20260430_074356_wrapup_layers_windows_noscale_beta1/runs/architectures/arch_conv1d_s42/20260430_081738,conv1d,60,10,"[128, 64]",16,1.0,42,none,val_f1,13.469419855664121,val,0.6981132075471698,0.9367088607594937,0.7999999999999999,0.9952791873896661,0.523072282150213,0.9947826086956522,0.9660728446776838,20942,96,15,222,63526,21275,43910,237,1894,3.2966105937957764,2.7435576915740967,14.042027950286865,4.345435619354248,14.122933387756348
20260430_074356_wrapup_layers_windows_noscale_beta1,architectures,arch_conv1d,arch_conv1d_s42,20260430_081738,models/vae_grid_runs/20260430_074356_wrapup_layers_windows_noscale_beta1/runs/architectures/arch_conv1d_s42/20260430_081738,conv1d,60,10,"[128, 64]",16,1.0,42,none,val_f1,13.469419855664121,test,0.8548387096774194,0.7275607180570222,0.7860810039931546,0.9949259662533144,0.770531600020375,0.9829196082896834,0.8609957055631645,41782,234,516,1378,63526,21275,43910,237,1894,3.2966105937957764,2.7435576915740967,14.042027950286865,4.345435619354248,14.122933387756348
20260430_074356_wrapup_layers_windows_noscale_beta1,architectures,arch_conv1d,arch_conv1d_s7,20260430_081857,models/vae_grid_runs/20260430_074356_wrapup_layers_windows_noscale_beta1/runs/architectures/arch_conv1d_s7/20260430_081857,conv1d,60,10,"[128, 64]",16,1.0,7,none,train_p98,15.934840202331543,val,0.4451219512195122,0.3080168776371308,0.36408977556109734,0.9947531150183132,0.4881925862990476,0.9880141010575794,0.6518456857051516,20947,91,164,73,63526,21275,43910,237,1894,6.642309665679932,2.753396987915039,15.934840202331543,6.424014091491699,15.539339065551758
20260430_074356_wrapup_layers_windows_noscale_beta1,architectures,arch_conv1d,arch_conv1d_s7,20260430_081857,models/vae_grid_runs/20260430_074356_wrapup_layers_windows_noscale_beta1/runs/architectures/arch_conv1d_s7/20260430_081857,conv1d,60,10,"[128, 64]",16,1.0,7,none,train_p98,15.934840202331543,test,0.7150395778364116,0.14308342133051744,0.23845138583369999,0.9967707906918951,0.8387703890218269,0.9605784559325894,0.570256485988945,41908,108,1623,271,63526,21275,43910,237,1894,6.642309665679932,2.753396987915039,15.934840202331543,6.424014091491699,15.539339065551758
