model,source,percentile,threshold,precision,recall,f1,fp,tp
VAE (dense),models/vae_grid_runs/20260430_074356_wrapup_layers_windows_noscale_beta1/runs/windows/win120_s42/20260430_081342,90.0,125.87989959716796,0.06590198123044838,1.0,0.12365486206221873,13437,948
VAE (dense),models/vae_grid_runs/20260430_074356_wrapup_layers_windows_noscale_beta1/runs/windows/win120_s42/20260430_081342,90.10102040816327,126.09106914411275,0.0664983164983165,1.0,0.12470402525651143,13308,948
VAE (dense),models/vae_grid_runs/20260430_074356_wrapup_layers_windows_noscale_beta1/runs/windows/win120_s42/20260430_081342,90.20204081632653,126.25999351283482,0.06699173203307186,1.0,0.12557122988277367,13203,948
VAE (dense),models/vae_grid_runs/20260430_074356_wrapup_layers_windows_noscale_beta1/runs/windows/win120_s42/20260430_081342,90.3030612244898,126.46871675919516,0.06756949394155382,1.0,0.12658565896648416,13082,948
VAE (dense),models/vae_grid_runs/20260430_074356_wrapup_layers_windows_noscale_beta1/runs/windows/win120_s42/20260430_081342,90.40408163265306,126.72434704963528,0.06832432432432432,1.0,0.12790933009512245,12927,948
VAE (dense),models/vae_grid_runs/20260430_074356_wrapup_layers_windows_noscale_beta1/runs/windows/win120_s42/20260430_081342,90.50510204081633,126.94484668186732,0.06914156516665451,1.0,0.12934033699433795,12763,948
VAE (dense),models/vae_grid_runs/20260430_074356_wrapup_layers_windows_noscale_beta1/runs/windows/win120_s42/20260430_081342,90.60612244897959,127.1906463716468,0.06996826334046793,1.0,0.13078567979581984,12601,948
VAE (dense),models/vae_grid_runs/20260430_074356_wrapup_layers_windows_noscale_beta1/runs/windows/win120_s42/20260430_081342,90.70714285714286,127.40604253714424,0.07063030844881538,1.0,0.13194154488517745,12474,948
VAE (dense),models/vae_grid_runs/20260430_074356_wrapup_layers_windows_noscale_beta1/runs/windows/win120_s42/20260430_081342,90.80816326530612,127.67293896608936,0.07156877547939,1.0,0.13357756798647313,12298,948
VAE (dense),models/vae_grid_runs/20260430_074356_wrapup_layers_windows_noscale_beta1/runs/windows/win120_s42/20260430_081342,90.90918367346939,127.878216764489,0.07230018303843808,1.0,0.13485064011379802,12164,948
VAE (dense),models/vae_grid_runs/20260430_074356_wrapup_layers_windows_noscale_beta1/runs/windows/win120_s42/20260430_081342,91.01020408163265,128.0975621375259,0.07303543913713405,1.0,0.13612866168868468,12032,948
VAE (dense),models/vae_grid_runs/20260430_074356_wrapup_layers_windows_noscale_beta1/runs/windows/win120_s42/20260430_081342,91.11122448979592,128.3901776303661,0.0739873565909623,1.0,0.13778068454327447,11865,948
VAE (dense),models/vae_grid_runs/20260430_074356_wrapup_layers_windows_noscale_beta1/runs/windows/win120_s42/20260430_081342,91.21224489795918,128.63389025131536,0.0749762733312243,1.0,0.13949381989405532,11696,948
VAE (dense),models/vae_grid_runs/20260430_074356_wrapup_layers_windows_noscale_beta1/runs/windows/win120_s42/20260430_081342,91.31326530612245,128.9179664674097,0.07590072057646118,1.0,0.14109242446792677,11542,948
VAE (dense),models/vae_grid_runs/20260430_074356_wrapup_layers_windows_noscale_beta1/runs/windows/win120_s42/20260430_081342,91.41428571428571,129.1446862880162,0.07663702506063055,1.0,0.1423637182760174,11422,948
VAE (dense),models/vae_grid_runs/20260430_074356_wrapup_layers_windows_noscale_beta1/runs/windows/win120_s42/20260430_081342,91.51530612244898,129.38680355772684,0.07746363784932178,1.0,0.14378886698013044,11290,948
VAE (dense),models/vae_grid_runs/20260430_074356_wrapup_layers_windows_noscale_beta1/runs/windows/win120_s42/20260430_081342,91.61632653061224,129.70957268415185,0.07874408173436331,1.0,0.145992145992146,11091,948
VAE (dense),models/vae_grid_runs/20260430_074356_wrapup_layers_windows_noscale_beta1/runs/windows/win120_s42/20260430_081342,91.7173469387755,130.0179733917859,0.07994602799797605,1.0,0.14805559893799783,10910,948
VAE (dense),models/vae_grid_runs/20260430_074356_wrapup_layers_windows_noscale_beta1/runs/windows/win120_s42/20260430_081342,91.81836734693877,130.30276454131456,0.08119218910585817,1.0,0.15019011406844104,10728,948
VAE (dense),models/vae_grid_runs/20260430_074356_wrapup_layers_windows_noscale_beta1/runs/windows/win120_s42/20260430_081342,91.91938775510204,130.6662136423539,0.08288162266130443,1.0,0.1530760536089133,10490,948
VAE (dense),models/vae_grid_runs/20260430_074356_wrapup_layers_windows_noscale_beta1/runs/windows/win120_s42/20260430_081342,92.0204081632653,130.9061007628149,0.08393094289508632,1.0,0.1548640039206077,10347,948
VAE (dense),models/vae_grid_runs/20260430_074356_wrapup_layers_windows_noscale_beta1/runs/windows/win120_s42/20260430_081342,92.12142857142857,131.25517443847656,0.08553640710998828,1.0,0.15759288504696203,10135,948
VAE (dense),models/vae_grid_runs/20260430_074356_wrapup_layers_windows_noscale_beta1/runs/windows/win120_s42/20260430_081342,92.22244897959183,131.52787375313892,0.08689275893675527,1.0,0.1598920559959521,9962,948
VAE (dense),models/vae_grid_runs/20260430_074356_wrapup_layers_windows_noscale_beta1/runs/windows/win120_s42/20260430_081342,92.3234693877551,131.74064078132466,0.08786727222170729,1.0,0.16154042770725055,9841,948
VAE (dense),models/vae_grid_runs/20260430_074356_wrapup_layers_windows_noscale_beta1/runs/windows/win120_s42/20260430_081342,92.42448979591836,132.15333949996014,0.089900426742532,1.0,0.16496998172800834,9597,948
VAE (dense),models/vae_grid_runs/20260430_074356_wrapup_layers_windows_noscale_beta1/runs/windows/win120_s42/20260430_081342,92.52551020408163,132.40810353804608,0.09113631993847338,1.0,0.16704845814977975,9454,948
